year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm
2022,3,31,19,0.099986,0.023361,0.013853,0.013751
2022,3,31,20,0.121074,0.030499,0.015300,0.015145
2022,3,31,21,0.131087,0.036650,0.015970,0.015561
2022,3,31,22,0.136487,0.043169,0.017035,0.015712
2022,3,31,23,0.139829,0.049331,0.017398,0.016554
2022,4,1,0,0.149396,0.056710,0.018246,0.017104
2022,4,1,1,0.160447,0.064248,0.018954,0.017552
2022,4,1,2,0.161044,0.071099,0.019108,0.017443
2022,4,1,3,0.169864,0.078805,0.019878,0.017919
2022,4,1,4,0.178611,0.086090,0.020440,0.018205
2022,4,1,5,0.179200,0.092682,0.020660,0.018155
2022,4,1,6,0.180426,0.099114,0.021049,0.018253
2022,4,1,7,0.173969,0.103540,0.020694,0.017640
2022,4,1,8,0.168706,0.105490,0.019960,0.016509
2022,4,1,9,0.159395,0.104076,0.018521,0.014831
2022,4,1,10,0.146645,0.098410,0.017169,0.013182
2022,4,1,11,0.130430,0.084199,0.013220,0.009985
2022,4,1,12,0.119141,0.083890,0.015495,0.011136
2022,4,1,13,0.107062,0.076220,0.013107,0.009920
2022,4,1,14,0.099572,0.071496,0.013053,0.009867
2022,4,1,15,0.092992,0.065865,0.012822,0.009671
2022,4,1,16,0.086616,0.065363,0.012750,0.009616
2022,4,1,17,0.081987,0.062966,0.012744,0.009641
2022,4,1,18,0.083429,0.066810,0.016064,0.011872
2022,4,1,19,0.096615,0.070571,0.017545,0.013441
2022,4,1,20,0.112495,0.075059,0.018978,0.015011
2022,4,1,21,0.126487,0.079714,0.020011,0.015860
2022,4,1,22,0.139691,0.085045,0.021398,0.016423
2022,4,1,23,0.151293,0.090390,0.022101,0.017652
2022,4,2,0,0.163505,0.096036,0.022856,0.018149
2022,4,2,1,0.173028,0.101227,0.023329,0.018386
2022,4,2,2,0.179541,0.106220,0.023825,0.018626
2022,4,2,3,0.183685,0.110952,0.024211,0.018736
2022,4,2,4,0.188364,0.115369,0.024611,0.018876
2022,4,2,5,0.188836,0.119548,0.024993,0.018997
2022,4,2,6,0.188805,0.123365,0.025282,0.018990
2022,4,2,7,0.190371,0.126928,0.025691,0.019111
2022,4,2,8,0.194377,0.128011,0.024967,0.017986
2022,4,2,9,0.184738,0.127061,0.023852,0.016524
2022,4,2,10,0.175600,0.126257,0.023935,0.016249
2022,4,2,11,0.171696,0.122720,0.023000,0.014934
2022,4,2,12,0.170700,0.118283,0.022398,0.014069
2022,4,2,13,0.162184,0.111821,0.021807,0.013316
2022,4,2,14,0.156796,0.106252,0.021467,0.012816
2022,4,2,15,0.140966,0.096294,0.017729,0.010845
2022,4,2,16,0.118248,0.084291,0.016742,0.009949
2022,4,2,17,0.105049,0.082764,0.016770,0.010018
2022,4,2,18,0.102503,0.087468,0.017701,0.010775
2022,4,2,19,0.115132,0.092945,0.022738,0.014213
2022,4,2,20,0.126938,0.096621,0.024008,0.015847
2022,4,2,21,0.157275,0.103487,0.026207,0.017937
2022,4,2,22,0.196347,0.112559,0.028597,0.019259
2022,4,2,23,0.216088,0.120594,0.028942,0.020382
2022,4,3,0,0.223883,0.127484,0.029334,0.020583
2022,4,3,1,0.231858,0.133668,0.029787,0.020679
2022,4,3,2,0.244108,0.139829,0.030456,0.021057
2022,4,3,3,0.249113,0.144854,0.030685,0.020955
2022,4,3,4,0.257760,0.149684,0.031258,0.021179
2022,4,3,5,0.253204,0.152290,0.031068,0.020616
2022,4,3,6,0.253018,0.154511,0.031466,0.020758
2022,4,3,7,0.251690,0.155822,0.031571,0.020580
2022,4,3,8,0.244171,0.152508,0.030110,0.018613
2022,4,3,9,0.238400,0.148227,0.029064,0.017206
2022,4,3,10,0.227349,0.140372,0.027552,0.015230
2022,4,3,11,0.193604,0.124935,0.022182,0.011066
2022,4,3,12,0.157829,0.110752,0.020802,0.010665
2022,4,3,13,0.126752,0.103794,0.020537,0.010397
2022,4,3,14,0.103180,0.101621,0.020394,0.010266
2022,4,3,15,0.086101,0.099143,0.020247,0.010172
2022,4,3,16,0.078886,0.098494,0.020346,0.011197
2022,4,3,17,0.074515,0.098558,0.022975,0.012322
2022,4,3,18,0.074369,0.095783,0.025116,0.012792
2022,4,3,19,0.084140,0.097992,0.026385,0.014092
2022,4,3,20,0.095575,0.100498,0.027244,0.015174
2022,4,3,21,0.109160,0.103476,0.028257,0.016183
2022,4,3,22,0.124660,0.107285,0.029538,0.016971
2022,4,3,23,0.142203,0.111902,0.030546,0.018529
2022,4,4,0,0.143589,0.115167,0.030594,0.018272
2022,4,4,1,0.152640,0.119017,0.031374,0.018862
2022,4,4,2,0.164086,0.122950,0.032076,0.019390
2022,4,4,3,0.178840,0.127211,0.032839,0.019945
2022,4,4,4,0.183361,0.131038,0.033222,0.020055
2022,4,4,5,0.187713,0.134727,0.033637,0.020220
2022,4,4,6,0.182717,0.136857,0.033499,0.019735
2022,4,4,7,0.180180,0.138930,0.033911,0.019844
2022,4,4,8,0.181095,0.139256,0.033478,0.018975
2022,4,4,9,0.176759,0.138167,0.032701,0.017758
2022,4,4,10,0.164960,0.133389,0.031858,0.016396
2022,4,4,11,0.177910,0.133543,0.032374,0.016649
2022,4,4,12,0.571306,0.206509,0.037211,0.019240
2022,4,4,13,0.310637,0.165430,0.032259,0.015432
2022,4,4,14,0.584607,0.228679,0.036716,0.017831
2022,4,4,15,0.597672,0.283255,0.047125,0.026092
2022,4,4,16,0.599607,0.307976,0.051030,0.026937
2022,4,4,17,0.334663,0.248586,0.040625,0.016919
2022,4,4,18,0.581813,0.330922,0.048182,0.020947
2022,4,4,19,0.596341,0.379296,0.050230,0.021659
2022,4,4,20,0.327741,0.303395,0.043983,0.017930
2022,4,4,21,0.270883,0.276205,0.046909,0.020599
2022,4,4,22,0.253796,0.265087,0.047366,0.022064
