year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm
2022,1,1,1,0.010025,0.009449,0.009497,0.009496
2022,1,1,2,0.010036,0.009367,0.009486,0.009495
2022,1,1,3,0.010044,0.009290,0.009476,0.009494
2022,1,1,4,0.010050,0.009219,0.009466,0.009493
2022,1,1,5,0.010056,0.009152,0.009456,0.009492
2022,1,1,6,0.010061,0.009089,0.009446,0.009491
2022,1,1,7,0.010065,0.009029,0.009436,0.009490
2022,1,1,8,0.010068,0.008972,0.009426,0.009489
2022,1,1,9,0.010071,0.008917,0.009417,0.009488
2022,1,1,10,0.010073,0.008864,0.009407,0.009487
2022,1,1,11,0.010076,0.008814,0.009398,0.009486
2022,1,1,12,0.010077,0.008765,0.009388,0.009485
2022,1,1,13,0.010079,0.008718,0.009379,0.009484
2022,1,1,14,0.010080,0.008673,0.009370,0.009483
2022,1,1,15,0.010081,0.008628,0.009361,0.009482
2022,1,1,16,0.010082,0.008585,0.009351,0.009481
2022,1,1,17,0.010083,0.008544,0.009342,0.009480
2022,1,1,18,0.010084,0.008503,0.009334,0.009479
2022,1,1,19,0.010084,0.008463,0.009325,0.009478
2022,1,1,20,0.010085,0.008424,0.009316,0.009477
2022,1,1,21,0.010085,0.008386,0.009307,0.009476
2022,1,1,22,0.010086,0.008349,0.009299,0.009475
2022,1,1,23,0.010086,0.008312,0.009290,0.009474
2022,1,2,0,0.010086,0.008276,0.009282,0.009473
2022,1,2,1,0.010087,0.008241,0.009273,0.009472
2022,1,2,2,0.010087,0.008207,0.009265,0.009471
2022,1,2,3,0.010087,0.008173,0.009256,0.009470
2022,1,2,4,0.010087,0.008140,0.009248,0.009469
2022,1,2,5,0.010087,0.008107,0.009240,0.009468
2022,1,2,6,0.010087,0.008075,0.009232,0.009467
2022,1,2,7,0.010087,0.008043,0.009224,0.009466
2022,1,2,8,0.010087,0.008012,0.009216,0.009465
2022,1,2,9,0.010087,0.007981,0.009208,0.009464
2022,1,2,10,0.010088,0.007950,0.009200,0.009463
2022,1,2,11,0.010088,0.007920,0.009192,0.009462
2022,1,2,12,0.010088,0.007891,0.009184,0.009461
2022,1,2,13,0.010088,0.007862,0.009177,0.009460
2022,1,2,14,0.010088,0.007833,0.009169,0.009459
2022,1,2,15,0.010088,0.007805,0.009162,0.009458
2022,1,2,16,0.010088,0.007777,0.009154,0.009457
2022,1,2,17,0.010088,0.007749,0.009146,0.009456
2022,1,2,18,0.010088,0.007722,0.009139,0.009455
2022,1,2,19,0.010088,0.007695,0.009132,0.009454
2022,1,2,20,0.010088,0.007668,0.009124,0.009453
2022,1,2,21,0.010088,0.007641,0.009117,0.009452
2022,1,2,22,0.010088,0.007615,0.009110,0.009451
2022,1,2,23,0.010088,0.007590,0.009102,0.009450
2022,1,3,0,0.010088,0.007564,0.009095,0.009449
2022,1,3,1,0.010088,0.007539,0.009088,0.009448
2022,1,3,2,0.010088,0.007514,0.009081,0.009447
2022,1,3,3,0.010088,0.007489,0.009074,0.009446
2022,1,3,4,0.010088,0.007465,0.009067,0.009445
2022,1,3,5,0.010088,0.007441,0.009060,0.009444
2022,1,3,6,0.010088,0.007417,0.009053,0.009443
2022,1,3,7,0.010088,0.007393,0.009046,0.009442
2022,1,3,8,0.010088,0.007370,0.009040,0.009441
2022,1,3,9,0.010088,0.007346,0.009033,0.009440
2022,1,3,10,0.010088,0.007323,0.009026,0.009439
2022,1,3,11,0.010088,0.007301,0.009019,0.009438
2022,1,3,12,0.010088,0.007278,0.009013,0.009437
2022,1,3,13,0.010088,0.007256,0.009006,0.009436
2022,1,3,14,0.010088,0.007234,0.008999,0.009435
2022,1,3,15,0.010088,0.007212,0.008993,0.009435
2022,1,3,16,0.010088,0.007190,0.008986,0.009434
2022,1,3,17,0.010088,0.007169,0.008980,0.009433
2022,1,3,18,0.010088,0.007148,0.008973,0.009432
2022,1,3,19,0.010088,0.007127,0.008967,0.009431
2022,1,3,20,0.010088,0.007106,0.008961,0.009430
2022,1,3,21,0.010088,0.007086,0.008954,0.009429
2022,1,3,22,0.010088,0.007065,0.008948,0.009428
2022,1,3,23,0.010088,0.007045,0.008942,0.009427
2022,1,4,0,0.010088,0.007025,0.008935,0.009426
2022,1,4,1,0.010088,0.007005,0.008929,0.009425
2022,1,4,2,0.010088,0.006985,0.008923,0.009424
2022,1,4,3,0.010088,0.006966,0.008917,0.009423
2022,1,4,4,0.010088,0.006947,0.008911,0.009422
2022,1,4,5,0.010088,0.006928,0.008905,0.009421
2022,1,4,6,0.010088,0.006909,0.008898,0.009420
2022,1,4,7,0.010088,0.006890,0.008892,0.009419
2022,1,4,8,0.010088,0.006872,0.008886,0.009418
2022,1,4,9,0.010088,0.006853,0.008880,0.009417
2022,1,4,10,0.010088,0.006835,0.008874,0.009416
2022,1,4,11,0.010088,0.006817,0.008869,0.009415
2022,1,4,12,0.010088,0.006799,0.008863,0.009415
2022,1,4,13,0.010088,0.006781,0.008857,0.009414
2022,1,4,14,0.010088,0.006764,0.008851,0.009413
2022,1,4,15,0.010088,0.006747,0.008845,0.009412
2022,1,4,16,0.010088,0.006729,0.008839,0.009411
2022,1,4,17,0.010088,0.006712,0.008833,0.009410
2022,1,4,18,0.010088,0.006695,0.008828,0.009409
2022,1,4,19,0.010088,0.006679,0.008822,0.009408
2022,1,4,20,0.010088,0.006662,0.008816,0.009407
2022,1,4,21,0.010088,0.006646,0.008811,0.009406
2022,1,4,22,0.010088,0.006629,0.008805,0.009405
2022,1,4,23,0.010088,0.006613,0.008799,0.009404
2022,1,5,0,0.010088,0.006597,0.008794,0.009403
2022,1,5,1,0.010088,0.006582,0.008788,0.009402
2022,1,5,2,0.010088,0.006566,0.008783,0.009401
2022,1,5,3,0.010088,0.006550,0.008777,0.009401
2022,1,5,4,0.010088,0.006535,0.008772,0.009400
2022,1,5,5,0.010088,0.006520,0.008766,0.009399
2022,1,5,6,0.010088,0.006505,0.008761,0.009398
2022,1,5,7,0.010088,0.006490,0.008755,0.009397
2022,1,5,8,0.010088,0.006475,0.008750,0.009396
2022,1,5,9,0.010088,0.006460,0.008744,0.009395
2022,1,5,10,0.010088,0.006445,0.008739,0.009394
2022,1,5,11,0.010088,0.006431,0.008734,0.009393
2022,1,5,12,0.010088,0.006417,0.008728,0.009392
2022,1,5,13,0.010088,0.006402,0.008723,0.009391
2022,1,5,14,0.010088,0.006388,0.008718,0.009390
2022,1,5,15,0.010088,0.006375,0.008712,0.009389
