year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm
2022,1,1,1,0.010042,0.009046,0.009128,0.009127
2022,1,1,2,0.010055,0.008903,0.009110,0.009125
2022,1,1,3,0.010063,0.008772,0.009093,0.009123
2022,1,1,4,0.010068,0.008649,0.009075,0.009122
2022,1,1,5,0.010071,0.008534,0.009058,0.009120
2022,1,1,6,0.010074,0.008426,0.009041,0.009118
2022,1,1,7,0.010076,0.008325,0.009024,0.009116
2022,1,1,8,0.010078,0.008229,0.009007,0.009114
2022,1,1,9,0.010080,0.008139,0.008990,0.009113
2022,1,1,10,0.010081,0.008054,0.008973,0.009111
2022,1,1,11,0.010082,0.007972,0.008957,0.009109
2022,1,1,12,0.010083,0.007895,0.008941,0.009108
2022,1,1,13,0.010084,0.007822,0.008925,0.009106
2022,1,1,14,0.010084,0.007752,0.008909,0.009104
2022,1,1,15,0.010085,0.007685,0.008893,0.009102
2022,1,1,16,0.010085,0.007622,0.008877,0.009101
2022,1,1,17,0.010086,0.007561,0.008861,0.009099
2022,1,1,18,0.010086,0.007502,0.008846,0.009097
2022,1,1,19,0.010086,0.007446,0.008831,0.009095
2022,1,1,20,0.010086,0.007393,0.008816,0.009094
2022,1,1,21,0.010087,0.007341,0.008801,0.009092
2022,1,1,22,0.010087,0.007292,0.008786,0.009090
2022,1,1,23,0.010087,0.007244,0.008771,0.009088
2022,1,2,0,0.010087,0.007198,0.008756,0.009087
2022,1,2,1,0.010087,0.007154,0.008742,0.009085
2022,1,2,2,0.010087,0.007111,0.008727,0.009083
2022,1,2,3,0.010087,0.007070,0.008713,0.009082
2022,1,2,4,0.010087,0.007030,0.008699,0.009080
2022,1,2,5,0.010087,0.006992,0.008684,0.009078
2022,1,2,6,0.010088,0.006955,0.008670,0.009076
2022,1,2,7,0.010088,0.006919,0.008657,0.009075
2022,1,2,8,0.010088,0.006884,0.008643,0.009073
2022,1,2,9,0.010088,0.006850,0.008629,0.009071
2022,1,2,10,0.010088,0.006817,0.008616,0.009070
2022,1,2,11,0.010088,0.006785,0.008602,0.009068
2022,1,2,12,0.010088,0.006755,0.008589,0.009066
2022,1,2,13,0.010088,0.006725,0.008576,0.009065
2022,1,2,14,0.010088,0.006695,0.008562,0.009063
2022,1,2,15,0.010088,0.006667,0.008549,0.009061
2022,1,2,16,0.010088,0.006640,0.008536,0.009059
2022,1,2,17,0.010088,0.006613,0.008524,0.009058
2022,1,2,18,0.010088,0.006587,0.008511,0.009056
2022,1,2,19,0.010088,0.006561,0.008498,0.009054
2022,1,2,20,0.010088,0.006536,0.008485,0.009053
2022,1,2,21,0.010088,0.006512,0.008473,0.009051
2022,1,2,22,0.010088,0.006489,0.008461,0.009049
2022,1,2,23,0.010088,0.006466,0.008448,0.009048
2022,1,3,0,0.010088,0.006443,0.008436,0.009046
2022,1,3,1,0.010088,0.006421,0.008424,0.009044
2022,1,3,2,0.010088,0.006400,0.008412,0.009042
2022,1,3,3,0.010088,0.006379,0.008400,0.009041
2022,1,3,4,0.010088,0.006358,0.008388,0.009039
2022,1,3,5,0.010088,0.006338,0.008376,0.009037
2022,1,3,6,0.010088,0.006319,0.008364,0.009036
2022,1,3,7,0.010088,0.006300,0.008353,0.009034
2022,1,3,8,0.010088,0.006281,0.008341,0.009032
2022,1,3,9,0.010088,0.006263,0.008330,0.009031
2022,1,3,10,0.010088,0.006245,0.008318,0.009029
2022,1,3,11,0.010088,0.006227,0.008307,0.009027
2022,1,3,12,0.010088,0.006210,0.008296,0.009026
2022,1,3,13,0.010088,0.006193,0.008284,0.009024
2022,1,3,14,0.010088,0.006176,0.008273,0.009022
2022,1,3,15,0.010088,0.006160,0.008262,0.009021
2022,1,3,16,0.010088,0.006144,0.008251,0.009019
2022,1,3,17,0.010088,0.006128,0.008240,0.009017
2022,1,3,18,0.010088,0.006113,0.008230,0.009016
2022,1,3,19,0.010088,0.006098,0.008219,0.009014
2022,1,3,20,0.010088,0.006083,0.008208,0.009012
2022,1,3,21,0.010088,0.006069,0.008198,0.009011
2022,1,3,22,0.010088,0.006054,0.008187,0.009009
2022,1,3,23,0.010088,0.006040,0.008176,0.009008
2022,1,4,0,0.010088,0.006026,0.008166,0.009006
2022,1,4,1,0.010088,0.006013,0.008156,0.009004
2022,1,4,2,0.010088,0.006000,0.008145,0.009003
2022,1,4,3,0.010088,0.005986,0.008135,0.009001
2022,1,4,4,0.010088,0.005974,0.008125,0.008999
2022,1,4,5,0.010088,0.005961,0.008115,0.008998
2022,1,4,6,0.010088,0.005948,0.008105,0.008996
2022,1,4,7,0.010088,0.005936,0.008095,0.008994
2022,1,4,8,0.010088,0.005924,0.008085,0.008993
2022,1,4,9,0.010088,0.005912,0.008075,0.008991
2022,1,4,10,0.010088,0.005901,0.008065,0.008990
2022,1,4,11,0.010088,0.005889,0.008056,0.008988
2022,1,4,12,0.010088,0.005878,0.008046,0.008986
2022,1,4,13,0.010088,0.005867,0.008036,0.008985
2022,1,4,14,0.010088,0.005856,0.008027,0.008983
2022,1,4,15,0.010088,0.005845,0.008017,0.008981
2022,1,4,16,0.010088,0.005834,0.008008,0.008980
2022,1,4,17,0.010088,0.005824,0.007998,0.008978
2022,1,4,18,0.010088,0.005813,0.007989,0.008977
2022,1,4,19,0.010088,0.005803,0.007980,0.008975
2022,1,4,20,0.010088,0.005793,0.007970,0.008973
2022,1,4,21,0.010088,0.005783,0.007961,0.008972
2022,1,4,22,0.010088,0.005773,0.007952,0.008970
2022,1,4,23,0.010088,0.005764,0.007943,0.008968
2022,1,5,0,0.010088,0.005754,0.007934,0.008967
2022,1,5,1,0.010088,0.005745,0.007925,0.008965
2022,1,5,2,0.010088,0.005735,0.007916,0.008964
2022,1,5,3,0.010088,0.005726,0.007907,0.008962
2022,1,5,4,0.010088,0.005717,0.007898,0.008960
2022,1,5,5,0.010088,0.005708,0.007890,0.008959
2022,1,5,6,0.010088,0.005700,0.007881,0.008957
2022,1,5,7,0.010088,0.005691,0.007872,0.008956
2022,1,5,8,0.010088,0.005682,0.007864,0.008954
2022,1,5,9,0.010088,0.005674,0.007855,0.008952
2022,1,5,10,0.010088,0.005666,0.007847,0.008951
2022,1,5,11,0.010088,0.005657,0.007838,0.008949
2022,1,5,12,0.010088,0.005649,0.007830,0.008948
