year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm
2022,6,1,19,0.058191,0.011009,0.011000,0.011000
2022,6,1,20,0.101580,0.011132,0.011000,0.011000
2022,6,1,21,0.128878,0.011446,0.011000,0.011000
2022,6,1,22,0.151502,0.011840,0.011000,0.011000
2022,6,1,23,0.167980,0.012302,0.011000,0.011000
2022,6,2,0,0.173507,0.012938,0.011000,0.011000
2022,6,2,1,0.177096,0.014327,0.011000,0.011000
2022,6,2,2,0.185225,0.017994,0.011000,0.011000
2022,6,2,3,0.192561,0.028723,0.011000,0.011000
2022,6,2,4,0.202229,0.051949,0.011000,0.011000
2022,6,2,5,0.210865,0.081295,0.011000,0.011000
2022,6,2,6,0.219007,0.105724,0.011000,0.011000
2022,6,2,7,0.231830,0.120751,0.011000,0.011000
2022,6,2,8,0.225495,0.132561,0.011000,0.011000
2022,6,2,9,0.195672,0.130741,0.011000,0.011000
2022,6,2,10,0.160755,0.131980,0.011001,0.011000
2022,6,2,11,0.133299,0.135208,0.011002,0.011000
2022,6,2,12,0.111115,0.128139,0.011004,0.011000
2022,6,2,13,0.093736,0.119211,0.011009,0.011000
2022,6,2,14,0.082866,0.111316,0.011021,0.011000
2022,6,2,15,0.076040,0.104262,0.011040,0.011000
2022,6,2,16,0.073966,0.098959,0.011077,0.011000
2022,6,2,17,0.075340,0.095230,0.011121,0.011000
2022,6,2,18,0.074529,0.091323,0.011174,0.011000
2022,6,2,19,0.079527,0.088397,0.011239,0.011000
2022,6,2,20,0.087363,0.086560,0.011300,0.011000
2022,6,2,21,0.104412,0.088534,0.011346,0.011000
2022,6,2,22,0.132556,0.088477,0.011373,0.011000
2022,6,2,23,0.157492,0.088285,0.011390,0.011000
2022,6,3,0,0.171982,0.087787,0.011398,0.011000
2022,6,3,1,0.177501,0.090322,0.011404,0.011000
2022,6,3,2,0.549612,0.096927,0.011407,0.011000
2022,6,3,3,0.595582,0.169434,0.011409,0.011000
2022,6,3,4,0.350162,0.245812,0.011411,0.011000
2022,6,3,5,0.317252,0.294316,0.011413,0.011000
2022,6,3,6,0.316319,0.331893,0.011415,0.011000
2022,6,3,7,0.315763,0.362246,0.011417,0.011000
2022,6,3,8,0.315037,0.387525,0.011419,0.011000
2022,6,3,9,0.300864,0.384898,0.011422,0.011000
2022,6,3,10,0.270559,0.388096,0.011434,0.011000
2022,6,3,11,0.243331,0.364317,0.011455,0.011000
2022,6,3,12,0.211645,0.331855,0.011494,0.011000
2022,6,3,13,0.174857,0.287543,0.011559,0.011000
2022,6,3,14,0.147860,0.250205,0.011670,0.011000
2022,6,3,15,0.587764,0.256426,0.011722,0.011000
2022,6,3,16,0.279756,0.277360,0.011911,0.011000
2022,6,3,17,0.198254,0.251591,0.012235,0.011000
2022,6,3,18,0.150620,0.223166,0.012758,0.011000
2022,6,3,19,0.587404,0.230262,0.012953,0.011000
2022,6,3,20,0.599470,0.291192,0.012998,0.011000
2022,6,3,21,0.343262,0.339575,0.013026,0.011000
2022,6,3,22,0.569017,0.359201,0.013048,0.011000
2022,6,3,23,0.343823,0.382551,0.013068,0.011000
2022,6,4,0,0.563654,0.411600,0.013086,0.011000
2022,6,4,1,0.352492,0.411600,0.013103,0.011000
2022,6,4,2,0.319723,0.411600,0.013121,0.011000
2022,6,4,3,0.318467,0.411600,0.013138,0.011000
2022,6,4,4,0.318406,0.411600,0.013155,0.011000
2022,6,4,5,0.318398,0.411600,0.013173,0.011000
2022,6,4,6,0.318397,0.411600,0.013195,0.011000
2022,6,4,7,0.320089,0.411600,0.013222,0.011000
2022,6,4,8,0.316256,0.411262,0.013266,0.011000
2022,6,4,9,0.300709,0.417839,0.013466,0.011000
2022,6,4,10,0.269430,0.413160,0.014130,0.011000
2022,6,4,11,0.240406,0.382028,0.015708,0.011000
2022,6,4,12,0.566136,0.382164,0.017658,0.011000
2022,6,4,13,0.598096,0.394900,0.021564,0.011000
2022,6,4,14,0.599899,0.437609,0.029767,0.011000
2022,6,4,15,0.599995,0.467188,0.042131,0.011000
2022,6,4,16,0.600000,0.489209,0.057846,0.011000
2022,6,4,17,0.327542,0.483694,0.074065,0.011000
2022,6,4,18,0.263132,0.436789,0.088041,0.011000
2022,6,4,19,0.231749,0.395362,0.099908,0.011000
